Date,Open,High,Low,Close,Adj Close,Volume
2013-07-18,1.98,2.102,1.962,2.09,2.070808,11695180.0
2013-07-19,2.102,2.296,2.076,2.12,2.100533,43050545.0
2013-07-22,2.106,2.108,2.0,2.072,2.052973,10360835.0
2013-07-23,2.046,2.114,2.046,2.084,2.064863,8481635.0
2013-07-24,2.084,2.098,2.026,2.06,2.041084,5513795.0
2013-07-25,2.068,2.078,2.036,2.04,2.021267,4765800.0
2013-07-26,2.06,2.06,2.012,2.052,2.033157,3679080.0
2013-07-29,2.03,2.05,2.022,2.032,2.013341,2897500.0
2013-07-30,2.06,2.096,2.03,2.064,2.045047,3631630.0
2013-07-31,2.064,2.106,2.04,2.044,2.02523,2433755.0
2013-08-01,2.05,2.086,2.04,2.078,2.058918,2753160.0
2013-08-02,2.082,2.136,2.07,2.118,2.098551,6382920.0
2013-08-05,2.108,2.236,2.108,2.232,2.211504,28704050.0
2013-08-06,2.2,2.22,2.138,2.182,2.161963,14377510.0
2013-08-07,2.17,2.184,2.116,2.14,2.120349,6348300.0
2013-08-08,2.156,2.158,2.13,2.15,2.130257,3520720.0
2013-08-09,2.16,2.212,2.13,2.18,2.159982,9339240.0
2013-08-12,2.194,2.212,2.156,2.186,2.165927,10058890.0
2013-08-13,2.184,2.208,2.166,2.182,2.161963,5828395.0
2013-08-14,2.172,2.198,2.14,2.148,2.128275,5322575.0
2013-08-15,2.156,2.156,2.104,2.112,2.092606,6088820.0
2013-08-16,2.104,2.156,2.026,2.032,2.013341,5454900.0
2013-08-19,2.014,2.066,2.0,2.058,2.039102,3048905.0
2013-08-20,2.05,2.096,2.05,2.062,2.043065,3224625.0
2013-08-21,2.062,2.066,2.03,2.054,2.035139,4424415.0
2013-08-22,2.054,2.072,2.048,2.058,2.039102,2666610.0
2013-08-23,2.074,2.078,2.006,2.03,2.011359,3663350.0
2013-08-26,2.04,2.078,2.02,2.066,2.047028,3947560.0
2013-08-27,2.052,2.096,2.052,2.096,2.076753,4636475.0
2013-08-28,2.09,2.116,2.072,2.078,2.058918,4295215.0
2013-08-29,2.076,2.086,2.044,2.044,2.02523,3708015.0
2013-08-30,2.048,2.068,1.982,1.998,1.979653,5388825.0
2013-09-02,2.006,2.078,2.0,2.06,2.041084,6790315.0
2013-09-03,2.052,2.072,2.052,2.066,2.047028,3856315.0
2013-09-04,2.06,2.072,2.046,2.062,2.043065,2961535.0
2013-09-05,2.05,2.07,2.05,2.058,2.039102,3129350.0
2013-09-06,2.066,2.114,2.05,2.102,2.082698,8346955.0
2013-09-09,2.12,2.198,2.094,2.12,2.100533,10205040.0
2013-09-10,2.114,2.16,2.1,2.116,2.096569,7859255.0
2013-09-11,2.118,2.18,2.11,2.136,2.116385,11233930.0
2013-09-12,2.126,2.144,2.096,2.1,2.080716,5688560.0
2013-09-13,2.104,2.104,2.072,2.098,2.078735,3180580.0
2013-09-16,2.098,2.114,2.082,2.104,2.08468,2542600.0
2013-09-17,2.096,2.106,2.058,2.06,2.041084,3180010.0
2013-09-18,2.06,2.08,2.05,2.076,2.056937,1889005.0
2013-09-23,2.076,2.11,2.062,2.104,2.08468,2498550.0
2013-09-24,2.09,2.13,2.09,2.13,2.110441,5035845.0
2013-09-25,2.126,2.19,2.11,2.116,2.096569,9378735.0
2013-09-26,2.092,2.11,2.054,2.058,2.039102,4665750.0
2013-09-27,2.06,2.138,2.058,2.082,2.062881,5084180.0
2013-09-30,2.082,2.09,2.052,2.078,2.058918,3553735.0
2013-10-08,2.078,2.096,2.056,2.09,2.070808,5194050.0
2013-10-09,2.076,2.118,2.06,2.104,2.08468,5086040.0
2013-10-10,2.1,2.188,2.1,2.126,2.106477,16398750.0
2013-10-11,2.116,2.218,2.116,2.16,2.140165,20245115.0
2013-10-14,2.178,2.19,2.142,2.156,2.136202,9289490.0
2013-10-15,2.15,2.174,2.122,2.148,2.128275,7257445.0
2013-10-16,2.14,2.14,2.072,2.082,2.062881,5575745.0
2013-10-17,2.11,2.138,2.088,2.102,2.082698,4366230.0
2013-10-18,2.106,2.138,2.09,2.1,2.080716,4047625.0
2013-10-21,2.1,2.144,2.08,2.136,2.116385,7028295.0
2013-10-22,2.132,2.172,2.12,2.158,2.138184,7609425.0
2013-10-23,2.15,2.174,2.098,2.102,2.082698,5579150.0
2013-10-24,2.082,2.11,2.08,2.096,2.076753,3281845.0
2013-10-25,2.092,2.114,2.03,2.03,2.011359,5894380.0
2013-10-28,2.052,2.07,2.038,2.056,2.03712,2193495.0
2013-10-29,2.036,2.086,1.93,1.968,1.949928,4604485.0
2013-10-30,1.962,2.008,1.96,2.0,1.981634,2351975.0
2013-10-31,2.0,2.2,2.0,2.046,2.027212,4950015.0
